Symbol,Low,Open,Price,Volume,High,Change,Date
ACCESS,5.30,5.56,5.60,0,5.62,0.04,11/23/2016
ACCESS,5.30,5.50,5.53,0,5.53,0.03,11/21/2016
ACCESS,5.49,5.50,5.50,0,5.51,0.00,11/18/2016
,,,,,,,
ACCESS,5.42,5.40,5.50,0,5.50,0.10,11/17/2016
ACCESS,5.35,5.36,5.50,0,5.50,0.14,11/15/2016
ACCESS,5.31,5.30,5.36,0,5.43,0.06,11/14/2016
ACCESS,5.27,5.30,5.30,0,5.36,0.00,11/11/2016
ACCESS,5.29,5.15,5.30,0,5.40,0.15,11/10/2016
ACCESS,5.13,5.40,5.15,0,5.36,-0.25,11/9/2016
ACCESS,5.40,5.48,5.40,0,5.44,-0.08,11/8/2016
ACCESS,5.41,5.55,5.48,0,5.50,-0.07,11/7/2016
ACCESS,5.55,5.68,5.55,0,5.65,-0.13,11/4/2016
ACCESS,5.61,5.65,5.68,0,5.68,0.03,11/3/2016
,,,,,,,
ACCESS,5.65,5.65,5.65,0,5.75,0.00,11/2/2016
ACCESS,5.65,5.65,5.65,0,5.66,0.00,11/1/2016
ACCESS,5.64,5.70,5.65,0,5.68,-0.05,10/31/2016
ACCESS,5.65,5.68,5.70,0,5.71,0.02,10/28/2016
ACCESS,5.65,5.65,5.68,0,5.70,0.03,10/27/2016
ACCESS,5.63,5.65,5.65,0,5.65,0.00,10/26/2016
ACCESS,5.58,5.68,5.65,0,5.66,-0.03,10/25/2016
ACCESS,5.62,5.65,5.68,0,5.68,0.03,10/24/2016
ACCESS,5.62,5.63,5.65,0,5.67,0.02,10/21/2016
ACCESS,5.56,5.55,5.63,0,5.63,0.08,10/20/2016
,,,,,,,
ACCESS,5.55,5.52,5.55,0,5.58,0.03,10/19/2016
ACCESS,5.52,5.60,5.52,0,5.52,-0.08,10/18/2016
ACCESS,5.59,5.65,5.60,0,5.63,-0.05,10/17/2016
ACCESS,5.60,5.60,5.65,0,5.68,0.05,10/14/2016
ACCESS,5.60,5.65,5.60,0,5.69,-0.05,10/13/2016
ACCESS,5.58,5.60,5.65,0,5.65,0.05,10/12/2016
ACCESS,5.45,5.44,5.56,0,5.60,0.12,10/11/2016
